[0.06701026339743482] [0.97362345]
[0.06189607168178412] [0.9765908]
[0.06304392235723907] [0.97230464]
[0.05879096606143858] [0.97823936]
[0.06277010656532148] [0.97757995]
[0.05725813379214614] [0.97757995]
[0.05612340644158563] [0.97823936]
[0.05781737822600807] [0.97823936]
[0.057735119855103226] [0.9798879]
[0.05399156226353212] [0.98151517]
[0.0588566535230796] [0.9779097]
