[0.07989457116990131] [0.9643917]
[0.07090011463085102] [0.97296405]
[0.07507716965946284] [0.9687879]
[0.08303142015837892] [0.96768874]
[0.07403365768027942] [0.9693373]
[0.0630016178150618] [0.9746126]
[0.06996925180348633] [0.97428286]
[0.06550663770070533] [0.9779097]
[0.06471393318178038] [0.9746126]
[0.06868279283971301] [0.97362345]
[0.07258307688770968] [0.96834815]
